iso3,year,value
ABW,2015,0.474763597342641
ABW,2016,-0.93119598707956
ABW,2017,-1.02828178762012
ABW,2018,3.6260414135296
ABW,2019,4.25746204335427
AFG,2015,-0.6617091647137416
AFG,2016,4.383891955139149
AFG,2017,4.975951505538328
AFG,2018,0.6261491491688467
AFG,2019,2.302372515168337
AFG,2020,5.601887914822242
AFG,2021,5.133203408249625
AFG,2022,13.71210237200648
AFG,2023,-4.644708707977748
AFG,2024,-6.601185640737259
AGO,2015,9.35597215533784
AGO,2016,30.69441508067191
AGO,2017,29.84447990156793
AGO,2018,19.62893797015208
AGO,2019,17.08095414343803
AGO,2020,22.27153924705097
AGO,2021,25.75429488418906
AGO,2022,21.35529013208222
AGO,2023,13.64410177677148
AGO,2024,28.24049489157724
AGO,2025,20.16201975723312
ALB,2015,1.896174025923564
ALB,2016,1.275431683674233
ALB,2017,1.986661331711943
ALB,2018,2.028059630711346
ALB,2019,1.411090789542422
ALB,2020,1.620886617170209
ALB,2021,2.041471631395449
ALB,2022,6.725202715300591
ALB,2023,4.758345551500383
ALB,2024,2.215873750899917
ALB,2025,2.146185511673877
ARE,2015,4.069966083615932
ARE,2016,1.617488089041977
ARE,2017,1.96682557818842
ARE,2018,3.068633792519967
ARE,2019,-1.931081147821727
ARE,2020,-2.079403179409438
ARE,2021,0.1799353361744314
ARE,2022,5.291226043768494
ARE,2023,1.626708372132483
ARE,2024,1.66336510224894
ARE,2025,1.250865245598004
ARG,2018,34.27722371310032
ARG,2019,53.5483043492339
ARG,2020,42.01509473765087
ARG,2021,48.40937862551991
ARG,2022,72.43075753182404
ARG,2023,133.4889355941749
ARG,2024,219.883929014578
ARM,2015,3.731691192616935
ARM,2016,-1.403607559008996
ARM,2017,0.9695532688161378
ARM,2018,2.520233820016377
ARM,2019,1.443446607706982
ARM,2020,1.211435778384646
ARM,2021,7.184836294433707
ARM,2022,8.640911089738546
ARM,2023,1.980418776155536
ARM,2024,0.2695119782591255
ARM,2025,3.306933410729035
ATG,2015,0.9689934588256383
ATG,2016,-0.4894377962304987
ATG,2017,2.432487890413628
ATG,2018,1.207157933670076
ATG,2019,1.431355981829838
ATG,2020,0.6259897070467194
ATG,2021,2.062996385453344
ATG,2022,7.531078346342885
ATG,2023,5.067138653642129
ATG,2024,6.198866988421157
ATG,2025,1.368735275219537
AUS,2015,1.50836803138463
AUS,2016,1.27699365720306
AUS,2017,1.94864309065653
AUS,2018,1.91140002818579
AUS,2019,1.610770929127
AUS,2020,0.846900734607273
AUS,2021,2.86391284709318
AUS,2022,6.59409658717841
AUS,2023,5.59701792296707
AUS,2024,3.16656665428797
AUS,2025,2.87403791660173
AUT,2015,0.8965633352603198
AUT,2016,0.8915917526553624
AUT,2017,2.081269113855869
AUT,2018,1.998379814295489
AUT,2019,1.530895641526437
AUT,2020,1.381910633518537
AUT,2021,2.7666666666667
AUT,2022,8.546869931884578
AUT,2023,7.814134170028312
AUT,2024,2.937915742793759
AUT,2025,3.527194399569281
AZE,2015,4.027685737427259
AZE,2016,12.44337485843723
AZE,2017,12.93591841873347
AZE,2018,2.268546903739991
AZE,2019,2.610571827992152
AZE,2020,2.759809470081272
AZE,2021,6.650299127087786
AZE,2022,13.8522590144267
AZE,2023,8.785430498490808
AZE,2024,2.212171889199014
AZE,2025,5.622087880683383
BDI,2015,5.544688912597794
BDI,2016,5.55768961400965
BDI,2017,16.05253530303918
BDI,2018,-2.81469807668465
BDI,2019,-0.6867721707973587
BDI,2020,7.321106434155209
BDI,2021,8.404538450763408
BDI,2022,18.80087866649446
BDI,2023,26.94148357624534
BDI,2024,20.2124925027847
BDI,2025,34.13399857448319
BEL,2015,0.5614291527901578
BEL,2016,1.973852646531627
BEL,2017,2.125970860026162
BEL,2018,2.053164998651776
BEL,2019,1.436819569964382
BEL,2020,0.7407918122203436
BEL,2021,2.44024851144084
BEL,2022,9.597511728725
BEL,2023,4.049010776139414
BEL,2024,3.143491365000414
BEL,2025,2.467055437746132
BEN,2015,0.2187859235362453
BEN,2016,-0.793310145785624
BEN,2017,0.04326485551036081
BEN,2018,0.9191707178860538
BEN,2019,0.7328493712410664
BEN,2020,3.022721196637592
BEN,2021,1.733539626940358
BEN,2022,1.350778635835274
BEN,2023,2.738700784060748
BEN,2024,1.160930896404151
BEN,2025,1.101552479029779
BFA,2015,0.7248389810705168
BFA,2016,0.441041448058809
BFA,2017,1.482998971613255
BFA,2018,1.955943026725324
BFA,2019,-3.233389339833215
BFA,2020,1.884700665188471
BFA,2021,3.653267618255089
BFA,2022,14.2902354303358
BFA,2023,0.7429104286689175
BFA,2024,4.190817213445235
BFA,2025,-0.5862353163305787
BGD,2015,6.194280229849836
BGD,2016,5.513525726929953
BGD,2017,5.702070157172389
BGD,2018,5.543621394864763
BGD,2019,5.591996399306291
BGD,2020,5.691074747462114
BGD,2021,5.545654307734731
BGD,2022,7.696954371768982
BGD,2023,9.883503037792101
BGD,2024,10.46574827634125
BGD,2025,8.768762811611404
BGR,2015,-0.1046332610084791
